Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
2012-04-12,33.25,34.21,32.0,34.0,654700.0,31.494828815049,654700.0
2012-04-13,34.0,37.45,33.91,37.0,1685000.0,34.27378429873,1685000.0
2012-04-16,37.0,37.0,35.99,36.55,550200.0,33.856940976178,550200.0
2012-04-17,36.4,36.75,36.0,36.0,179600.0,33.34746580417,179600.0
2012-04-18,36.0,36.44,34.5,36.0,207100.0,33.34746580417,207100.0
2012-04-19,36.0,37.22,35.8,36.0,598100.0,33.34746580417,598100.0
2012-04-20,36.1,37.0,36.1,36.32,149700.0,33.643887722429,149700.0
2012-04-23,36.24,36.24,35.42,35.68,95700.0,33.051043885911,95700.0
2012-04-24,36.0,36.0,34.68,34.75,124500.0,32.189567685970005,124500.0
2012-04-25,34.8,35.5,34.5,34.75,266200.0,32.189567685970005,266200.0
2012-04-26,34.61,34.99,34.44,34.95,183900.0,32.374831384882,183900.0
2012-04-27,35.25,35.25,33.97,34.11,536000.0,31.596723849451,536000.0
2012-04-30,34.34,34.9,34.0,34.05,4105700.0,31.541144739777003,4105700.0
2012-05-01,33.74,34.1,32.58,32.76,6878600.0,30.346193881795006,6878600.0
2012-05-02,32.6,32.67,31.63,32.0,11287600.0,29.642191825928997,11287600.0
2012-05-03,31.93,31.98,31.05,31.39,11800000.0,29.077137544246998,11800000.0
2012-05-04,30.85,31.09,30.12,30.16,10881000.0,27.937765795938002,10881000.0
2012-05-07,30.1,30.55,29.25,29.35,12257200.0,27.187447815344,12257200.0
2012-05-08,29.09,30.41,28.75,30.1,14601300.0,27.882186686264,14601300.0
2012-05-09,29.81,32.89,29.73,32.49,13990000.0,30.096087888263,13990000.0
2012-05-10,33.05,33.35,31.52,32.48,8862000.0,30.086824703318,8862000.0
2012-05-11,31.73,32.15,31.4,31.83,4460100.0,29.484717681854,4460100.0
2012-05-14,31.19,31.58,30.77,31.32,6398200.0,29.012295249628,6398200.0
2012-05-15,31.35,32.32,31.06,31.67,6362800.0,29.336506722724,6362800.0
2012-05-16,31.46,32.39,31.25,32.1,6118600.0,29.734823675384998,6118600.0
2012-05-17,31.89,32.0,31.2,31.26,5850500.0,28.956716139954,5850500.0
2012-05-18,31.43,31.69,30.99,31.38,7940800.0,29.067874359301,7940800.0
2012-05-21,31.23,32.34,30.95,32.19,5480100.0,29.818192339895,5480100.0
2012-05-22,31.88,32.27,31.33,31.63,5415000.0,29.299453982941998,5415000.0
2012-05-23,31.35,31.49,30.88,31.41,5268900.0,29.095663914137997,5268900.0
2012-05-24,31.42,31.44,30.75,31.13,4210400.0,28.836294735661006,4210400.0
2012-05-25,31.01,31.41,30.83,31.3,3217900.0,28.993768879737,3217900.0
2012-05-29,31.28,31.72,30.86,31.01,3979600.0,28.725136516314002,3979600.0
2012-05-30,30.79,30.83,30.18,30.44,6000600.0,28.197134974415,6000600.0
2012-05-31,30.26,30.35,29.72,30.03,8098000.0,27.817344391645,8098000.0
2012-06-01,29.5,30.17,29.38,29.92,5701700.0,27.715449357243,5701700.0
2012-06-04,29.3,30.19,29.25,29.53,4844900.0,27.354185144365,4844900.0
2012-06-05,29.37,30.1,29.32,29.9,4046500.0,27.696922987352,4046500.0
2012-06-06,30.03,32.0,29.82,31.53,8609400.0,29.206822133484998,8609400.0
2012-06-07,32.07,32.75,31.74,31.83,7694300.0,29.484717681854,7694300.0
2012-06-08,31.66,32.35,31.51,32.12,4302100.0,29.753350045275997,4302100.0
2012-06-11,32.45,33.05,32.23,32.6,5999000.0,30.197982922665,5999000.0
2012-06-12,32.56,33.74,32.49,33.49,6809900.0,31.022406382824002,6809900.0
2012-06-13,33.27,33.49,32.54,32.77,3696800.0,30.35545706674,3696800.0
2012-06-14,32.77,33.64,32.31,33.53,4460000.0,31.059459122606,4460000.0
2012-06-15,33.6,34.91,33.38,34.9,9892400.0,32.328515460154,9892400.0
2012-06-18,34.38,34.5,33.83,33.86,4254400.0,31.365144225811,4254400.0
